p	count
rdf:type	2960471
rdf:subject	2960471
rdf:predicate	2960471
rdf:object	2960471
https://w3id.org/biolink/vocab/relation	2964185
https://w3id.org/biolink/vocab/knowledge_source	2960471
https://w3id.org/biolink/vocab/primary_knowledge_source	1141101
https://www.example.org/UNKNOWN/meta	10
https://www.example.org/UNKNOWN/primary_knowledge_source.1	417065
