s	count
http://purl.obolibrary.org/obo/NCBITaxon_562	203
http://purl.obolibrary.org/obo/NCBITaxon_1759536	141
http://purl.obolibrary.org/obo/NCBITaxon_412384	133
http://purl.obolibrary.org/obo/NCBITaxon_287	129
http://purl.obolibrary.org/obo/NCBITaxon_1716077	126
http://purl.obolibrary.org/obo/NCBITaxon_1156576	125
http://purl.obolibrary.org/obo/NCBITaxon_233316	123
http://purl.obolibrary.org/obo/NCBITaxon_1280	122
http://purl.obolibrary.org/obo/NCBITaxon_1121859	121
