?class	?labels	?synonyms	?definitions
<https://mdatahub.org/data/meo/MEO_0000053>	"wound"		"A wound is a type of injury in which skin is torn, cut, or punctured (an open wound), or where blunt force trauma causes a contusion (a closed wound)."
<https://mdatahub.org/data/meo/MEO_0000054>	"feces"		"Feces is an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation."
<https://mdatahub.org/data/meo/MEO_0000055>	"rhizosphere"		"The narrow region of soil that is directly influenced by root secretions and associated soil microorganisms."
<https://mdatahub.org/data/meo/MEO_0000056>	"animal-associated habitat"		
<https://mdatahub.org/data/meo/MEO_0000057>	"plant-associated habitat"		
<https://mdatahub.org/data/meo/MEO_0000058>	"insecta associated"		"A habitat that is in or on a living insect. Here insect denotes an individual of a species that is a sub-taxon of NCBITaxon:50557."
<https://mdatahub.org/data/meo/MEO_0000059>	"blood"		"Blood is a bodily fluid composed of blood plasma and blood cells suspended within the plasma that circulates around the organism's body. Blood performs may important functions including the supplying of oxygen and nutrients, removal of waste, circulation of white blood cells, detection of antibodes, coagulation, transportation of antibodies and the regulation of pH and body temperature."
<https://mdatahub.org/data/meo/MEO_0000060>	"saliva"		"Saliva is a slightly alkaline secretion of water, mucin, protein, salts, and often a starch-splitting enzyme (as ptyalin) that is secreted into the mouth by salivary glands, lubricates ingested food, and often begins the breakdown of starches. Saliva is a watery substance located in the mouths of organisms, secreted by the salivary glands."
<https://mdatahub.org/data/meo/MEO_0000061>	"organism-associated habitat"		
<https://mdatahub.org/data/meo/MEO_0000062>	"wood"		"Wood is a hard, fibrous structural tissue found in the stems and roots of trees and other woody plants."
<https://mdatahub.org/data/meo/MEO_0000063>	"urine"		"Urine is a liquid excreta containing water and waste products made by the kidneys, stored in the bladder, and leaves the body through the urethra."
<https://mdatahub.org/data/meo/MEO_0000064>	"bovine milk"		
<https://mdatahub.org/data/meo/MEO_0000065>	"mud"		"A liquid or semi-liquid mixture of water and some combination of soil, silt, and clay."
<https://mdatahub.org/data/meo/MEO_0000066>	"sediment"		"Sediment is an environmental substance comprised of any particulate matter that can be transported by fluid flow and which eventually is deposited as a layer of solid particles on the bedor bottom of a body of water or other liquid."
<https://mdatahub.org/data/meo/MEO_0000067>	"man-made structure"		
<https://mdatahub.org/data/meo/MEO_0000068>	"oxic"		"An environment that contains oxygen."
<https://mdatahub.org/data/meo/MEO_0000069>	"anoxic"		"Suffering from a reduced supply of oxygen."
<https://mdatahub.org/data/meo/MEO_0000070>	"aerobic"		"A quality inhering in a bearer by virtue of the bearer's dependence on oxygen."
<https://mdatahub.org/data/meo/MEO_0000071>	"anaerobic"		"A quality inhering in a bearer by virtue of the bearer's independence on oxygen."
<https://mdatahub.org/data/meo/MEO_0000072>	"biochar"		"Charcoal that is used to nutritionally supplement soil."
<https://mdatahub.org/data/meo/MEO_0000073>	"frost flowers"		"Ice crystals commonly found growing on young sea ice and thin lake ice in cold, calm conditions."
<https://mdatahub.org/data/meo/MEO_0000074>	"field of aquaculture"		"The cultivation of aquatic produce such as aquatic plants, fish and other aquatic animals."
<https://mdatahub.org/data/meo/MEO_0000075>	"plaque"		
<https://mdatahub.org/data/meo/MEO_0000076>	"red wine"		"Red wine is a type of wine made from dark-coloured (black) grape varieties. "
<https://mdatahub.org/data/meo/MEO_0000077>	"white wine"		"White wine is a wine whose color can be straw-yellow, yellow-green, and yellow-gold coloured."
<https://mdatahub.org/data/meo/MEO_0000078>	"natto"		"Natto/natto is a traditional Japanese food made from soybeans fermented with Bacillus subtilis. "
<https://mdatahub.org/data/meo/MEO_0000079>	"urogenital tract"		"Urogenital system is the organ system of the reproductive organs and the urinary system."
<https://mdatahub.org/data/meo/MEO_0000080>	"mycorrhiza"		"A mycorrhiza is a symbiotic (generally mutualistic, but occasionally weakly pathogenic) association between a fungus and the roots of a vascular plant."
<https://mdatahub.org/data/meo/MEO_0000081>	"ice mass"		"Fields of ice, formed in regions of perennial frost."
<https://mdatahub.org/data/meo/MEO_0000082>	"river"		"Natural freshwater surface streams of considerable volume and a permanent or seasonal flow, moving in a definite channel toward a sea, lake, or another river; any large streams, or ones larger than brooks or creeks, such as the trunk stream and larger branches of a drainage system."
<https://mdatahub.org/data/meo/MEO_0000083>	"spring"		"A point where groundwater or steam flows out of the ground, and is thus where the aquifer surface meets the ground surface or where there is a fissure."
<https://mdatahub.org/data/meo/MEO_0000084>	"bay"		"An area of water bordered by land on three sides."
<https://mdatahub.org/data/meo/MEO_0000085>	"lagoon"		"A sheet of saline water separated from the open sea by sand or shingle banks. The sheet of water between an offshore reef, especially of coral and mainland. The sheet of water within a ring or horseshoe shaped atoll."
<https://mdatahub.org/data/meo/MEO_0000086>	"fjord"		
<https://mdatahub.org/data/meo/MEO_0000087>	"estuary"		"A semi-enclosed coastal body of water with one or more rivers or streams flowing into it, and with a free connection to the open sea. Expressions of the estuarine biome occur at wide lower courses of a rivers where they flows into a sea. Estuaries experience tidal flows and their water is a changing mixture of fresh and salt. {@en}"
<https://mdatahub.org/data/meo/MEO_0000088>	"farm"		"A tract of crop or grazing land, as well as the group of buildings with and often surrounding a farmhouse, including barns, sheds, and other outbuildings, used for agricultural production."
<https://mdatahub.org/data/meo/MEO_0000089>	"coastal plain"		"An area of flat, low-lying land adjacent to a seacoast and separated from the interior by other features."
<https://mdatahub.org/data/meo/MEO_0000090>	"grassland"		"An area in which grasses (Graminae) are a significant component of the vegetation."
<https://mdatahub.org/data/meo/MEO_0000091>	"forest"		"An area with a high density of trees. A small forest may be called a wood."
<https://mdatahub.org/data/meo/MEO_0000092>	"reef"		"A ridge of rocks, lying near the surface of the sea, which may be visible at low tide, but is usually covered by water."
<https://mdatahub.org/data/meo/MEO_0000093>	"permafrost"		"Soil at or below the freezing point of water (0C or 32F) for two or more years. Ice is not always present, as may be in the case of nonporous bedrock, but it frequently occurs and it may be in amounts exceeding the potential hydraulic saturation of the ground material."
<https://mdatahub.org/data/meo/MEO_0000094>	"coral reef"		"Aragonite structures produced by living organisms, found in shallow, marine waters with little nutrients in the water."
<https://mdatahub.org/data/meo/MEO_0000095>	"ridge"		"A long and narrow upland with steep sides."
