?class	?labels	?synonyms	?definitions
<https://mdatahub.org/data/meo/MEO_0000345>	"industrial waste"		
<https://mdatahub.org/data/meo/MEO_0000346>	"litter"		
<https://mdatahub.org/data/meo/MEO_0000347>	"mine waste"		
<https://mdatahub.org/data/meo/MEO_0000348>	"mushroom compost"		
<https://mdatahub.org/data/meo/MEO_0000349>	"olive mill wastewater"		
<https://mdatahub.org/data/meo/MEO_0000350>	"organic waste"		
<https://mdatahub.org/data/meo/MEO_0000351>	"beach"		"A landform consisting of loose rock particles such as sand, gravel, shingle, pebbles, cobble, or even shell fragments along the shoreline of a body of water."
<https://mdatahub.org/data/meo/MEO_0000352>	"cove"		"A circular or round inlet with a narrow entrance."
<https://mdatahub.org/data/meo/MEO_0000353>	"marine bulk water"		
<https://mdatahub.org/data/meo/MEO_0000354>	"mediterranean"		
<https://mdatahub.org/data/meo/MEO_0000355>	"neritic epipelagic zone"		"The neritic epipelagic zone biome comprises the marine water column that occurs above a continental shelf and extends from the surface of the ocean to a depth of ca. 200-250m. Throughout the zone the light field tends to be asymmetrical vertically, so that the direction and elevation of the sun can still be detected. The epipelagic zone encompasses the euphotic zone and, where and when it occurs, the seasonal thermocline."
<https://mdatahub.org/data/meo/MEO_0000356>	"oil brine"		"Natural brines are commonly found at depth in the Earth, but they also are found at Earth's surface, most notably as a byproduct of oil and gas test wells and production wells"
<https://mdatahub.org/data/meo/MEO_0000357>	"saline evaporation pond"		"A shallow man-made pond designed to produce salt from sea water. The seawater is fed into large ponds and water is drawn out through natural evaporation which allows the salt to be subsequently harvested."
<https://mdatahub.org/data/meo/MEO_0000358>	"pyritic acid mine drainage"		
<https://mdatahub.org/data/meo/MEO_0000359>	"ice wedge"		"An ice wedge is a crack in the ground formed by a narrow or thin piece of ice that measures up to 3-4 metres wide at ground level and extends downwards into the ground up to several metres."
<https://mdatahub.org/data/meo/MEO_0000360>	"saline snow"		
<https://mdatahub.org/data/meo/MEO_0000361>	"snow"		"Snow is precipitation in the form of flakes of crystalline water ice that fall from clouds."
<https://mdatahub.org/data/meo/MEO_0000362>	"lake bed"		"The ground surface that lies beneath a lake."
<https://mdatahub.org/data/meo/MEO_0000363>	"large lake biome"		
<https://mdatahub.org/data/meo/MEO_0000364>	"intertidal zone"		"The area of the foreshore and seabed that is exposed to the air at low tide and submerged at high tide, i.e., the area between tide marks."
<https://mdatahub.org/data/meo/MEO_0000365>	"foam"		"A foam is a substance that is formed by trapping pockets of gas in a liquid or solid. "
<https://mdatahub.org/data/meo/MEO_0000366>	"ground water"		"Groundwater is water located beneath the earth's surface in soil pore spaces and in the fractures of rock formations. "
<https://mdatahub.org/data/meo/MEO_0000367>	"puddle"		"A puddle is a small accumulation of liquid, usually water, on a surface. "
<https://mdatahub.org/data/meo/MEO_0000368>	"sterile water"		"Sterilized Water is water that has been sterilized, to ensure an absence of any bacteria in the water."
<https://mdatahub.org/data/meo/MEO_0000369>	"tundra mire"		"Peatlands with a shallow peat layer, only about 500 mm thick, dominated by sedges and grasses. They form in permafrost areas, covering around 110,000 to 160,000 km2 in Alaska, Canada, and the former USSR."
<https://mdatahub.org/data/meo/MEO_0000370>	"water well"		"A water well is an excavation or structure created in the ground by digging, driving, boring, or drilling to access groundwater in underground aquifers. "
<https://mdatahub.org/data/meo/MEO_0000371>	"ascocarp"		"An ascocarp/ascoma is the fruiting body of an ascomycete fungus."
<https://mdatahub.org/data/meo/MEO_0000372>	"ascospore"		"An ascospore is a spore contained in an ascus or that was produced inside an ascus."
<https://mdatahub.org/data/meo/MEO_0000373>	"bark"		"Bark is the outermost layers of stems and roots of woody plants. "
<https://mdatahub.org/data/meo/MEO_0000374>	"basidiocarp"		"A basidiocarp is the sporocarp of a basidiomycete."
<https://mdatahub.org/data/meo/MEO_0000375>	"cotton yarn"		"Yarn is a long continuous length of interlocked fibres, suitable for use in the production of textiles, sewing, crocheting, knitting, weaving, embroidery, and ropemaking."
<https://mdatahub.org/data/meo/MEO_0000376>	"flower"		
<https://mdatahub.org/data/meo/MEO_0000377>	"fruit body"		"Fruit body  is a multicellular structure on which spore-producing structures."
<https://mdatahub.org/data/meo/MEO_0000378>	"herbage"		
<https://mdatahub.org/data/meo/MEO_0000379>	"leaf"		"A leaf is an organ of a vascular plant, as defined in botanical terms, and in particular in plant morphology. "
<https://mdatahub.org/data/meo/MEO_0000380>	"leaf litter"		
<https://mdatahub.org/data/meo/MEO_0000381>	"leaf nodule"		
<https://mdatahub.org/data/meo/MEO_0000382>	"palm sap"		
<https://mdatahub.org/data/meo/MEO_0000383>	"phyllosphere"		"The phyllosphere is a term used in microbiology to refer to leaf surfaces or total above-ground surfaces of a plant as a habitat for microorganisms. "
<https://mdatahub.org/data/meo/MEO_0000384>	"plant debris"		"dead plant material, such as leaves, bark, needles, and twigs, that has fallen to the ground. "
<https://mdatahub.org/data/meo/MEO_0000385>	"plant material"		
<https://mdatahub.org/data/meo/MEO_0000386>	"plant root"		
<https://mdatahub.org/data/meo/MEO_0000387>	"rice straw"		
<https://mdatahub.org/data/meo/MEO_0000388>	"seed"		"Seed is the product of the ripened ovule of gymnosperm and angiosperm plants which occurs after fertilization and some growth within the mother plant. "
<https://mdatahub.org/data/meo/MEO_0000389>	"single ascus"		
<https://mdatahub.org/data/meo/MEO_0000390>	"stem"		"A stem is one of two main structural axes of a vascular plant. "
<https://mdatahub.org/data/meo/MEO_0000391>	"straw"		"An agricultural byproduct, the dry stalk of a cereal plant, after the nutrient grain or seed has been removed."
<https://mdatahub.org/data/meo/MEO_0000392>	"chrysalis"		"A chrysalis or nympha is the pupal stage of butterflies. "
<https://mdatahub.org/data/meo/MEO_0000393>	"human-associated habitat"		
<https://mdatahub.org/data/meo/MEO_0000394>	"livestock-associated"		"Livestock is an animal-associated habitat consisting of any domestic or domesticated animal intentionally raised for food or in the production of food or raised as stock to produce food or fibre, in an agricultural setting or for its labour or pen-raised animals raised on licensed game farm operations. Livestock include: bovine animals (including buffalo and bison), ovine animals, porcine animals, caprine animals, , poultry, bees, equine animals, cervidae animals; animals of the genus Lama; ratites (Emu, Ostrich, and Rhea), fish or shellfish in aquaculture facilities, and enclosed domesticated rabbits or hares raised for human food or fiber."
<https://mdatahub.org/data/meo/MEO_0000395>	"mammalia associated"		"A habitat that is in or on a living mammal. Here \"mammal\" denotes an individual of a species that is a sub-taxon of NCBITaxon:40674."
<https://mdatahub.org/data/meo/MEO_0000396>	"leather"		"Leather is a durable and flexible material created by the tanning of animal rawhide and skin."
<https://mdatahub.org/data/meo/MEO_0000397>	"bile"		"Bile is a bodily fluid consisting of a bitter, yellow or green alkaline fluid secreted by hepatocytes from the liver of most vertebrates. In many species, bile is stored in the gallbladder between meals and upon eating is discharged into the duodenum where the bile aids the process of digestion of lipids."
<https://mdatahub.org/data/meo/MEO_0000398>	"cerebro-spinal fluid"		"Cerebrospinal fluid (CSF) is a clear colorless bodily fluid produced in the choroid plexus of the brain. Transudate contained in the subarachnoid space."
<https://mdatahub.org/data/meo/MEO_0000399>	"digesta"		"Digesta is a food undergoing digestion."
<https://mdatahub.org/data/meo/MEO_0000400>	"frass"		"Frass refers loosely to the more or less solid excreta of insects, and to certain other related matter."
<https://mdatahub.org/data/meo/MEO_0000401>	"pus"		"Pus is a bodily fluid consisting of a whitish-yellow or yellow substance produced during inflammatory responses of the body that can be found in regions of pyogenic bacterial infections. Pus is produced from the dead and living cells which travel into the intercellular spaces around the affected cells."
<https://mdatahub.org/data/meo/MEO_0000402>	"spinal fluid"		
<https://mdatahub.org/data/meo/MEO_0000403>	"sputum"		"Sputum is mucus that is coughed up from the lower airways."
<https://mdatahub.org/data/meo/MEO_0000404>	"anaerobic environment"		
<https://mdatahub.org/data/meo/MEO_0000405>	"aerobic environment"		
<https://mdatahub.org/data/meo/MEO_0000406>	"land feature"		
<https://mdatahub.org/data/meo/MEO_0000407>	"land component"		"This class contains various rocks, sands and soils"
<https://mdatahub.org/data/meo/MEO_0000409>	"large-scale artifact"		
<https://mdatahub.org/data/meo/MEO_0000410>	"artificial natural environment"		
<https://mdatahub.org/data/meo/MEO_0000411>	"waste treatment"		
<https://mdatahub.org/data/meo/MEO_0000413>	"brackish water"		"Brackish water or briny water is water that has more salinity than fresh water, but not as much as seawater."
<https://mdatahub.org/data/meo/MEO_0000414>	"ice"		"Ice is water frozen into a solid state. It can appear transparent or opaque bluish-white color, depending on the presence of impurities or air inclusions."
<https://mdatahub.org/data/meo/MEO_0000416>	"hot water"		
<https://mdatahub.org/data/meo/MEO_0000417>	"organic feature"		
<https://mdatahub.org/data/meo/MEO_0000418>	"fungi body associated"		
<https://mdatahub.org/data/meo/MEO_0000419>	"plant body associated"		
<https://mdatahub.org/data/meo/MEO_0000420>	"symbiotic microbe"		
<https://mdatahub.org/data/meo/MEO_0000421>	"animal body associated"		"A habitat that is in or on a living animal. Here animal denotes an individual of a species that is a sub-taxon of NCBITaxon:33208."
<https://mdatahub.org/data/meo/MEO_0000422>	"excrement and secretion"		
<https://mdatahub.org/data/meo/MEO_0000423>	"small artifact"		
<https://mdatahub.org/data/meo/MEO_0000424>	"liquid artifact"		
<https://mdatahub.org/data/meo/MEO_0000425>	"aquatic feature"		"This class contains H2O associated natural habitat."
<https://mdatahub.org/data/meo/MEO_0000426>	"non-fermented food product"		
<https://mdatahub.org/data/meo/MEO_0000427>	"food"		
<https://mdatahub.org/data/meo/MEO_0000428>	"food related"		
<https://mdatahub.org/data/meo/MEO_0000444>	"alveolus"		
<https://mdatahub.org/data/meo/MEO_0000445>	"organ component"		"Cardinal organ part which is bounded predominantly by bonafide boundaries.  Examples: lobe of lung, osteon, acinus, submucosa, anterior leaflet of mitral valve, capsule of kidney, cortical bone, muscle fasciculus."
<https://mdatahub.org/data/meo/MEO_0000446>	"trunk"		"Subdivision of body proper, which consists of a maximal set of diverse subclasses of organ and organ part spatially associated with the ribcage, thoracic and lumbar vertebral column, sacrum and coccyx, it is partially surrounded by skin of trunk. Examples: There is only one trunk."
<https://mdatahub.org/data/meo/MEO_0000447>	"subdivision of body proper"		
<https://mdatahub.org/data/meo/MEO_0000448>	"sacrum"		"In humans, the sacrum (plural: sacrums or sacra) is a large, triangular bone at the base of the spine and at the upper and back part of the pelvic cavity, where it is inserted like a wedge between the two hip bones."
<https://mdatahub.org/data/meo/MEO_0000449>	"bone"		"Bones are rigid organs that constitute part of the endoskeleton of vertebrates. They support and protect the various organs of the body, produce red and white blood cells and store minerals"
<https://mdatahub.org/data/meo/MEO_0000450>	"mandible"		"In vertebrates, the mandible, lower jaw or jawbone is a bone forming the skull with the cranium."
<https://mdatahub.org/data/meo/MEO_0000451>	"lower jaw"		"In vertebrates, the mandible, lower jaw or jawbone is a bone forming the skull with the cranium."
<https://mdatahub.org/data/meo/MEO_0000452>	"skeletal system"		
<https://mdatahub.org/data/meo/MEO_0000453>	"sinus"		"nus is a sack or cavity in any organ or tissue, or an abnormal cavity or passage caused by the destruction of tissue."
<https://mdatahub.org/data/meo/MEO_0000454>	"general anatomical term"		"Anatomical term that represents more than one concept. Examples: muscle, bone, liver cell, fiber, apex of lung."
<https://mdatahub.org/data/meo/MEO_0000455>	"joint"		"Anatomical junction which consists of parts of two or more adjacent bones or cartilages which are interconnected by organs and/or organ parts that consist of various types of connective tissue. Together with other joints and bones, a joint constitutes the skeletal system. Examples: pubic symphysis, knee joint, temporomandibular joint."
<https://mdatahub.org/data/meo/MEO_0000456>	"peritoneum"		"The peritoneum is the serous membrane that forms the lining of the abdominal cavity or the coelom?it covers most of the intra-abdominal (or coelomic) organs?in amniotes and some invertebrates (annelids, for instance)."
<https://mdatahub.org/data/meo/MEO_0000457>	"anatomical structure"		"Material anatomical entity which is generated by coordinated expression of the organism's own genes that guide its morphogenesis; has inherent 3D shape; its parts are connected and spatially related to one another in patterns determined by coordinated gene expression. Examples: heart, right ventricle, mitral valve, myocardium, endothelium, lymphocyte, fibroblast, thorax, cardiovascular system, hemoglobin, T cell receptor."
<https://mdatahub.org/data/meo/MEO_0000458>	"tooth"		"Organ with a cavity which consist of dentine and enamel. Examples: incisor, molar."
<https://mdatahub.org/data/meo/MEO_0000459>	"incisor tooth"		"Incisors (from Latin incidere, \"to cut\") are the front teeth present in most heterodont mammals. They are located in the premaxilla above and on the mandible below."
<https://mdatahub.org/data/meo/MEO_0000460>	"cecum"		"The cecum or caecum is a pouch, usually peritoneal, that is considered to be the beginning of the large intestine."
<https://mdatahub.org/data/meo/MEO_0000461>	"appendix"		"Organ with organ cavity which is continuous proximally with the cecum and distally terminates in the tip of the appendix. Examples: There is only one appendix."
<https://mdatahub.org/data/meo/MEO_0000462>	"colon"		"The colon is the last part of the digestive system in most vertebrates."
<https://mdatahub.org/data/meo/MEO_0000463>	"rectum"		"The rectum (from the Latin rectum intestinum, meaning straight intestine) is the final straight portion of the large intestine in some mammals, and the gut in others."
<https://mdatahub.org/data/meo/MEO_0000464>	"sigmoid colon"		"The sigmoid colon (pelvic colon) is the part of the large intestine that is closest to the rectum and anus."
<https://mdatahub.org/data/meo/MEO_0000465>	"wall of ileum"		
<https://mdatahub.org/data/meo/MEO_0000466>	"anus"		"The anus is an opening at the opposite end of an animal's digestive tract from the mouth."
<https://mdatahub.org/data/meo/MEO_0000467>	"oral cavity"		
<https://mdatahub.org/data/meo/MEO_0000468>	"gut"		"In zoology, the gut, also known as the alimentary canal or alimentary tract, is a tube by which bilaterian animals transfer food to the digestion organs."
<https://mdatahub.org/data/meo/MEO_0000469>	"midgut"		"The midgut is the portion of the embryo from which most of the intestines develop."
<https://mdatahub.org/data/meo/MEO_0000470>	"hindgut"		"The hindgut (or epigaster) is the posterior (caudal) part of the alimentary canal. In mammals, it includes the distal third of the transverse colon and the splenic flexure, the descending colon, sigmoid colon and rectum."
<https://mdatahub.org/data/meo/MEO_0000471>	"pharynx"		"The human pharynx (plural: pharynges) is the part of the throat situated immediately inferior to (below) the nasal cavity, posterior to the mouth and superior to the esophagus and larynx."
<https://mdatahub.org/data/meo/MEO_0000472>	"mouth"		"In human anatomy, the mouth is the first portion of the alimentary canal that receives food and saliva."
<https://mdatahub.org/data/meo/MEO_0000473>	"oropharynx"		"The Oropharynx (oral part of the pharynx) reaches from the Uvula to the level of the hyoid bone."
<https://mdatahub.org/data/meo/MEO_0000474>	"uvula"		
<https://mdatahub.org/data/meo/MEO_0000475>	"hard palate"		"The hard palate is a thin horizontal bony plate of the skull, located in the roof of the mouth. It spans the arch formed by the upper teeth."
<https://mdatahub.org/data/meo/MEO_0000476>	"dentine"		"Substance of tooth produced by odontoblasts; surrounds the pulp of the tooth and is subjacent to enamel and cement."
<https://mdatahub.org/data/meo/MEO_0000477>	"root canal of tooth"		
<https://mdatahub.org/data/meo/MEO_0000478>	"periodontium"		"Skeletal ligament (organ) that connects a tooth to the maxilla or mandible."
<https://mdatahub.org/data/meo/MEO_0000479>	"gingiva"		"The gingiva (sing. and plur.: gingiva), or gums, consist of the mucosal tissue that lies over the mandible and maxilla inside the mouth."
<https://mdatahub.org/data/meo/MEO_0000480>	"gingival epithelium"		
<https://mdatahub.org/data/meo/MEO_0000481>	"gastrointestinal tract"		
<https://mdatahub.org/data/meo/MEO_0000482>	"stomach"		"Organ with organ cavity which is continuous proximally with the esophagus and distally with the small intestine. Examples: There is only one stomach."
<https://mdatahub.org/data/meo/MEO_0000483>	"liver"		"Lobular organ which has as its parts lobules connected to the biliary tree. Examples: There is only one liver."
<https://mdatahub.org/data/meo/MEO_0000484>	"intestine"		"In human anatomy, the intestine (or bowel, hose or gut) is the segment of the alimentary canal extending from the pyloric sphincter of the stomach to the anus and, in humans and other mammals, consists of two segments, the small intestine and the large intestine."
<https://mdatahub.org/data/meo/MEO_0000485>	"small intestine"		"Organ with organ cavity which is continuous proximally with the stomach and distally with the large intestine. Examples: There is only one small intestine."
<https://mdatahub.org/data/meo/MEO_0000486>	"gallbladder"		"Organ with organ cavity which is continuous proximally with the cystic duct and distally terminates in the fundus of the gallbladder. Examples: There is only one gallbladder."
<https://mdatahub.org/data/meo/MEO_0000487>	"duodenum"		"The duodenum is the first section of the small intestine in most higher vertebrates, including mammals, reptiles, and birds."
<https://mdatahub.org/data/meo/MEO_0000488>	"ileum"		"The ileum is the final section of the small intestine in most higher vertebrates, including mammals, reptiles, and birds."
<https://mdatahub.org/data/meo/MEO_0000489>	"gingival margin"		"The free gingival margin is the interface between the sulcular epithelium and the epithelium of the oral cavity."
<https://mdatahub.org/data/meo/MEO_0000490>	"alimentary system"		
<https://mdatahub.org/data/meo/MEO_0000491>	"brain"		"Segment of neuraxis that has as its parts gray matter and white matter that surround the cerebral ventricular system;  Examples: There is only one brain."
<https://mdatahub.org/data/meo/MEO_0000492>	"spinal cord"		"Segment of neuraxis that has as its parts gray matter and white matter that surround the central canal. Examples: There is only one spinal cord."
<https://mdatahub.org/data/meo/MEO_0000493>	"nervous system"		"The nervous system is the part of an animal's body that coordinates the voluntary and involuntary actions of the animal and transmits signals between different parts of its body."
<https://mdatahub.org/data/meo/MEO_0000494>	"throat"		"In vertebrate anatomy, the throat (Latin gula) is the anterior part of the neck, in front of the vertebral column."
<https://mdatahub.org/data/meo/MEO_0000495>	"respiratory tract"		"In humans, the respiratory tract is the part of the anatomy involved with the process of respiration."
<https://mdatahub.org/data/meo/MEO_0000496>	"nose"		"*Subdivision of face which consists of the nasal skeleton, nasal septum and nasal cavity."
<https://mdatahub.org/data/meo/MEO_0000497>	"nasopharynx"		"The nasopharynx (nasal part of the pharynx) is the uppermost part of the pharynx."
<https://mdatahub.org/data/meo/MEO_0000498>	"pharyngeal tonsil"		"The adenoid, also known as a pharyngeal tonsil or nasopharyngeal tonsil, is a mass of lymphatic tissue situated posterior to the nasal cavity, in the roof of the nasopharynx, where the nose blends into the throat."
<https://mdatahub.org/data/meo/MEO_0000499>	"dental pulp"		"The dental pulp is the part in the center of a tooth made up of living connective tissue and cells called odontoblasts."
<https://mdatahub.org/data/meo/MEO_0000500>	"external nose"		"*Subdivision of face, the exterior of the nose, which consists of a root, dorsum, tip, columella, and right and left alae."
<https://mdatahub.org/data/meo/MEO_0000501>	"external naris"		
<https://mdatahub.org/data/meo/MEO_0000502>	"right external naris"		
<https://mdatahub.org/data/meo/MEO_0000503>	"left external naris"		
<https://mdatahub.org/data/meo/MEO_0000504>	"paranasal sinus"		"Paranasal sinuses are a group of four paired air-filled spaces that surround the nasal cavity (maxillary sinuses), above the eyes (frontal sinuses), between the eyes (ethmoidal sinuses), and behind the ethmoids (sphenoidal sinuses)."
<https://mdatahub.org/data/meo/MEO_0000505>	"set of bronchi"		
<https://mdatahub.org/data/meo/MEO_0000506>	"lung"		"Lobular organ which has as its parts alveoli connected to the tracheobronchial tree. Examples: There are only two instances, right lung and left lung."
<https://mdatahub.org/data/meo/MEO_0000507>	"set of nares"		
<https://mdatahub.org/data/meo/MEO_0000508>	"trachea"		
<https://mdatahub.org/data/meo/MEO_0000509>	"set of choanae"		
<https://mdatahub.org/data/meo/MEO_0000510>	"pleura"		
<https://mdatahub.org/data/meo/MEO_0000511>	"palatine tonsil"		"Palatine tonsils, occasionally called the faucial tonsils,[2] are the tonsils that can be seen on the left and right sides at the back of the throat."
<https://mdatahub.org/data/meo/MEO_0000512>	"respiratory system"		"Functional system which consists of structures involved in respiration."
<https://mdatahub.org/data/meo/MEO_0000513>	"transitional epithelium of urinary bladder"		
<https://mdatahub.org/data/meo/MEO_0000514>	"male urethra"		
<https://mdatahub.org/data/meo/MEO_0000515>	"female urinary system"		
<https://mdatahub.org/data/meo/MEO_0000516>	"lower urinary tract"		"*Subdivision of urinary system which consists of the urinary bladder and the urethra."
<https://mdatahub.org/data/meo/MEO_0000517>	"kidney"		"The kidneys are organs that serve several essential regulatory roles in most animals, including vertebrates and some invertebrates."
<https://mdatahub.org/data/meo/MEO_0000518>	"urinary system"		"The urinary system or renal system is the organ system that produces, stores, and eliminates urine."
<https://mdatahub.org/data/meo/MEO_0000519>	"uterus"		"Organ with organ cavity which is continuous proximally with the right and left uterine tubes and distally is connected to the vagina. Examples: There is only one uterus."
<https://mdatahub.org/data/meo/MEO_0000520>	"endometrium"		"The endometrium is the inner mucous membrane of the mammalian uterus."
<https://mdatahub.org/data/meo/MEO_0000521>	"glans penis"		"In male human anatomy, the glans penis (or simply glans) is the sensitive bulbous structure at the distal end of the penis."
<https://mdatahub.org/data/meo/MEO_0000522>	"urethra"		"Organ with organ cavity which connects the cavity of the urinary bladder to the exterior. Examples: There is only one urethra."
<https://mdatahub.org/data/meo/MEO_0000523>	"vagina"		"Organ with organ cavity which connects the cervical canal of uterus to the vestibule of vagina. Examples: There is only one vagina."
<https://mdatahub.org/data/meo/MEO_0000524>	"posterior fornix of vagina"		
<https://mdatahub.org/data/meo/MEO_0000525>	"labium minus"		"The labia minora (singular: labium minus), also known as the inner labia, inner lips, vaginal lips, or nymphae,[1] are two flaps of skin on either side of the human vaginal opening, situated between the labia majora (outer labia, or outer lips)."
<https://mdatahub.org/data/meo/MEO_0000526>	"vulva"		"The vulva (from the Latin vulva, plural vulvae, see etymology) consists of the external genital organs of the female mammal."
<https://mdatahub.org/data/meo/MEO_0000527>	"cavity of tunica vaginalis"		"Cavity of serous sac surrounded by the tunica vaginalis."
<https://mdatahub.org/data/meo/MEO_0000528>	"bartholin's duct"		"Bartholin's ducts are a pair of ducts leading from the Bartholin's glands to the surface of the vulva."
<https://mdatahub.org/data/meo/MEO_0000529>	"semen"		"Body substance which consists of spermatozoa and seminal plasma."
<https://mdatahub.org/data/meo/MEO_0000530>	"placenta"		"The placenta is an organ that connects the developing fetus to the uterine wall to allow nutrient uptake, waste elimination, and gas exchange via the mother's blood supply."
<https://mdatahub.org/data/meo/MEO_0000531>	"ovary"		"The ovary is an ovum-producing reproductive organ, often found in pairs as part of the vertebrate female reproductive system."
<https://mdatahub.org/data/meo/MEO_0000532>	"vaginal part of cervix"		
<https://mdatahub.org/data/meo/MEO_0000533>	"amnion"		"The amnion is a membrane building the amniotic sac that surrounds and protects an embryo."
<https://mdatahub.org/data/meo/MEO_0000534>	"perineum"		"Subdivision of trunk proper, which is demarcated from the pelvis by the inferior surface of the pelvic diaphragm and from the lower limbs by the perineofemoral lines; together with the thorax, and abdomen, it constitutes the trunk proper. Examples: There is only one perineum."
<https://mdatahub.org/data/meo/MEO_0000535>	"genital system"		"The reproductive system or genital system is a system of organs within an organism which work together for the purpose of reproduction."
<https://mdatahub.org/data/meo/MEO_0000536>	"serum"		"Body substance derived from plasma by the elimination of fibrinogen."
<https://mdatahub.org/data/meo/MEO_0000537>	"bone marrow"		"Bone marrow is the flexible tissue in the interior of bones. In humans, red blood cells are produced in the heads of long bones in a process known as hematopoesis."
<https://mdatahub.org/data/meo/MEO_0000538>	"portion of blood"		"Portion of body substance which consists of plasma and blood cells."
<https://mdatahub.org/data/meo/MEO_0000539>	"cardiovascular system"		"Organ system which consists of the heart, the systemic and pulmonary arterial and venous system, the  lymphatic and the portal venous system."
<https://mdatahub.org/data/meo/MEO_0000540>	"muscle"		"Muscle is a soft tissue found in most animals."
<https://mdatahub.org/data/meo/MEO_0000541>	"muscular system"		"The muscular system is an organ system consisting of skeletal, smooth and cardiac muscles."
<https://mdatahub.org/data/meo/MEO_0000542>	"right forearm"		
<https://mdatahub.org/data/meo/MEO_0000543>	"left forearm"		
<https://mdatahub.org/data/meo/MEO_0000544>	"popliteal fossa"		"The popliteal fossa (sometimes referred to colloquially as the knee pit) is a shallow depression located at the back of the knee joint."
<https://mdatahub.org/data/meo/MEO_0000545>	"right popliteal fossa"		
<https://mdatahub.org/data/meo/MEO_0000546>	"left popliteal fossa"		
<https://mdatahub.org/data/meo/MEO_0000547>	"face"		"Subdivision of head which consists of the viscerocranium and all layers superficial to it."
<https://mdatahub.org/data/meo/MEO_0000548>	"anterior chest"		"Subdivision of thorax which is anterior to the plane of the posterior boundary of the middle mediastinum."
<https://mdatahub.org/data/meo/MEO_0000549>	"axilla"		"The axilla (or armpit, underarm, or oxter) is the area on the human body directly under the joint where the arm connects to the shoulder. It also provides the under-arm sweat gland."
<https://mdatahub.org/data/meo/MEO_0000550>	"arm"		"In human anatomy, the arm is the part of the upper limb between the shoulder and the elbow joints."
<https://mdatahub.org/data/meo/MEO_0000551>	"elbow"		"In primates, including humans, the elbow joint is the synovial hinge joint between the humerus in the upper arm and the radius and ulna in the forearm which allows the hand to be moved towards and away from the body."
<https://mdatahub.org/data/meo/MEO_0000552>	"anterior part of right elbow"		
<https://mdatahub.org/data/meo/MEO_0000553>	"anterior part of left elbow"		
<https://mdatahub.org/data/meo/MEO_0000554>	"palm"		
<https://mdatahub.org/data/meo/MEO_0000555>	"wrist"		"In human anatomy, the wrist is variously defined as the carpus or carpal bones, the complex of eight bones forming the proximal skeletal segment of the hand."
<https://mdatahub.org/data/meo/MEO_0000556>	"index finger"		"The index finger, (also referred to as forefinger, pointer finger, trigger finger, digitus secundus, digitus II, and many other terms), is the first finger and the second digit of a human hand."
<https://mdatahub.org/data/meo/MEO_0000557>	"hip"		"In vertebrate anatomy, hip (or \"coxa\" in medical terminology) refer to either an anatomical region or a joint."
<https://mdatahub.org/data/meo/MEO_0000558>	"thigh"		"In humans the thigh is the area between the pelvis and the knee. Anatomically, it is part of the lower limb."
<https://mdatahub.org/data/meo/MEO_0000559>	"knee"		"The knee joint joins the thigh with the lower leg and consists of two articulations: one between the femur and tibia, and one between the femur and patella."
<https://mdatahub.org/data/meo/MEO_0000560>	"leg"		"A leg is a weight bearing and locomotive structure, usually having a columnar shape."
<https://mdatahub.org/data/meo/MEO_0000561>	"left leg"		
<https://mdatahub.org/data/meo/MEO_0000562>	"plantar part of foot"		
<https://mdatahub.org/data/meo/MEO_0000563>	"plantar part of right foot"		
<https://mdatahub.org/data/meo/MEO_0000564>	"plantar part of left foot"		
<https://mdatahub.org/data/meo/MEO_0000565>	"toe"		"Toes are the digits of the foot of a tetrapod."
<https://mdatahub.org/data/meo/MEO_0000566>	"shoulder"		"The human shoulder is made up of three bones: the clavicle (collarbone), the scapula (shoulder blade), and the humerus (upper arm bone) as well as associated muscles, ligaments and tendons."
<https://mdatahub.org/data/meo/MEO_0000567>	"plantar surface"		
<https://mdatahub.org/data/meo/MEO_0000568>	"body"		"Anatomical structure which is the aggregate material substance of an individual member of a species"
<https://mdatahub.org/data/meo/MEO_0000569>	"perianal surface"		
<https://mdatahub.org/data/meo/MEO_0000570>	"perianal space"		
<https://mdatahub.org/data/meo/MEO_0000571>	"right axilla"		
<https://mdatahub.org/data/meo/MEO_0000572>	"left axilla"		
<https://mdatahub.org/data/meo/MEO_0000573>	"scalp"		"The scalp is the anatomical area bordered by the face anteriorly and the neck to the sides and posteriorly."
<https://mdatahub.org/data/meo/MEO_0000574>	"external ear"		"The outer ear is the external portion of the ear, which consists of the pinna and external auditory meatus."
<https://mdatahub.org/data/meo/MEO_0000575>	"hair"		"Hair is a filamentous biomaterial that grows from follicles found in the dermis."
<https://mdatahub.org/data/meo/MEO_0000576>	"nail"		"A nail is a horn-like envelope covering the dorsal aspect of the terminal phalanges of fingers and toes in humans, most non-human primates, and a few other mammals."
<https://mdatahub.org/data/meo/MEO_0000577>	"nail of finger"		
<https://mdatahub.org/data/meo/MEO_0000578>	"pinna"		"In animal anatomy, the pinna (Latin for feather) is the visible part of the ear that resides outside of the head (this may also be referred to as the auricle or auricula)."
<https://mdatahub.org/data/meo/MEO_0000579>	"right palm"		
<https://mdatahub.org/data/meo/MEO_0000580>	"left palm"		
<https://mdatahub.org/data/meo/MEO_0000581>	"umbilicus"		
<https://mdatahub.org/data/meo/MEO_0000582>	"subdivision of external ear"		
