?class	?labels	?synonyms	?definitions
<urn:absolute:OFSMR#Juices>	"Juice"	""	
<urn:absolute:OFSMR#La-w>	"La-w"	""	
<urn:absolute:OFSMR#Lettuce>	"Letucce"	"Iceberg lettuce, lettuce MAP"	
<urn:absolute:OFSMR#Malt_extract_agar>	"Malt extract agar"	"Malt extract agar (Nissui)"	
<urn:absolute:OFSMR#Mayonnaise_based_salads>	"Mayonnaise based salad"	""	
<urn:absolute:OFSMR#Meat_emoulsion>	"Meat emulsion"	""	
<urn:absolute:OFSMR#Meat_preparations>	"Meat preparations"	""	
<urn:absolute:OFSMR#Mechanicaly_extracted_meat>	"Mechanicaly extracted meat"	""	
<urn:absolute:OFSMR#Mechanicaly_processed_meat>	"Mechanicaly processed meat"	""	
<urn:absolute:OFSMR#Melon>	"Melon"	""	
<urn:absolute:OFSMR#Modified_bhi>	"Modified bhi"	""	
<urn:absolute:OFSMR#Modified_meat>	"Modified meat"	""	
<urn:absolute:OFSMR#Nitrogen_limited_media>	"Nitrogen limited media"	""	
<urn:absolute:OFSMR#None_meat_animal_parts>	"None meat animal parts"	""	
<urn:absolute:OFSMR#Obsolete:_MRS_broth>	"Obsolete: MRS broth (Difco)"	"MRS broth"	
<urn:absolute:OFSMR#Other>	"Others"	""	
<urn:absolute:OFSMR#Other_Medium>	"Other medium"	""	
<urn:absolute:OFSMR#Other_mix>	"Other mix"	"Other mix"	
<urn:absolute:OFSMR#Other_mixed,_uncategorised_or_unknown_type_of_food>	"Other mixed, uncategorised or unknown type of food"	""	
<urn:absolute:OFSMR#Other_type_processed_meat>	"Other type processed meat"	""	
<urn:absolute:OFSMR#Ox_muscle>	"Ox muscle"	""	
<urn:absolute:OFSMR#Oxoid_Tryptone_soya_broth_???>	"Oxoid tryptone soya broth"	""	
<urn:absolute:OFSMR#Parsley>	"Parsley"	""	
<urn:absolute:OFSMR#Pasta>	"Pasta"	""	
<urn:absolute:OFSMR#Pasta_salad>	"Pasta salad"	""	
<urn:absolute:OFSMR#Pasteurized_milk>	"Pasteurized milk"	""	
<urn:absolute:OFSMR#Pectin-NH4Cl-MGSO4>	"Pectin-H4Cl-MgSO4"	""	
<urn:absolute:OFSMR#Pig_carcass>	"Pig carcass"	""	
<urn:absolute:OFSMR#Pistacia>	"Pistacia"	"Pistachios"	
<urn:absolute:OFSMR#Potato_dextrose_agar>	"Potato dextrose agar"	"Potato dextrose agar (Nissui)"	
<urn:absolute:OFSMR#Procesed_fruit_and_vegetables>	"Procesed fruit and vegetables"	""	
<urn:absolute:OFSMR#Produce>	"Produce"	""	
<urn:absolute:OFSMR#Ready_to_eat_cured_meat>	"Ready to eat cured meat"	"RTE cured meat"	
<urn:absolute:OFSMR#Refrigerated_chiken_skin>	"Refrigerated chicken skin"	""	
<urn:absolute:OFSMR#Salad>	"Salad"	""	
<urn:absolute:OFSMR#Sauce/dressing>	"Sauce / dressing"	""	
<urn:absolute:OFSMR#Sauces>	"Sauce"	"Sauces seasonings and soups"	
<urn:absolute:OFSMR#Sausages>	"Sausage"	"Frankfurters"	
<urn:absolute:OFSMR#Sausages_with_potassium_lactate>	"Sausages with potassium lactate"	""	
<urn:absolute:OFSMR#Sausages_with_potassium_lactate_ans_sodium_diacet>	"Sausages with potassium lactate and sodium diacet"	""	
<urn:absolute:OFSMR#Sausages_with_potassium_sorbate>	"Sausages with potassium sorbate"	""	
<urn:absolute:OFSMR#Seadfood>	"Seafood"	""	
<urn:absolute:OFSMR#Seafood_lightly_presserved>	"Seafood lightly preserved"	""	
<urn:absolute:OFSMR#Seafood_salad>	"Seafood salad"	""	
<urn:absolute:OFSMR#Sealed_cultures>	"Sealed cultures"	""	
<urn:absolute:OFSMR#Shrim_and_imitation_crab_salad>	"Shrimp and imitation crab salad"	""	
<urn:absolute:OFSMR#Simulated_beef_gravy>	"Simulated beef gravy"	""	
<urn:absolute:OFSMR#Simulated_smoked_ham>	"Simulated smoked ham"	""	
<urn:absolute:OFSMR#Sliced_vacuum-packaged_cooked_cured_meat_products>	"Sliced vacuum packaged cooked cured meat products"	""	
<urn:absolute:OFSMR#Smoked,_cured_seafood>	"Somked, cured seafood"	""	
<urn:absolute:OFSMR#Smoked_fish_meat>	"Smoked fish meat"	"Smoking"	
<urn:absolute:OFSMR#Smoked_meat>	"Smoked meat"	""	
<urn:absolute:OFSMR#Smoked_salmon>	"Smoked salmon"	""	
<urn:absolute:OFSMR#Soft_cheese>	"Soft Cheese"	"Soft cheese (mizithra)"	
<urn:absolute:OFSMR#Soudjouk-style_fermented_sausages>	"Soudjouk-style fermented sausage"	""	
<urn:absolute:OFSMR#Soya_milk>	"Soya milk"	"Soy milk"	
<urn:absolute:OFSMR#Spicy_cheese>	"Spicy cheese"	""	
<urn:absolute:OFSMR#Spicy_cheese_salad>	"Spicy cheese salad"	"Spicy cheese salad (ph 4.2)"	
<urn:absolute:OFSMR#Spinach>	"Spinach"	""	
<urn:absolute:OFSMR#Steril_cooked_ground_chicken_thigh_meat_burgers>	"Sterile, cooked ground chicken thigh meat burgers"	""	
<urn:absolute:OFSMR#Sterile,_cooked_ground_chicken_breast_meat_portions>	"Sterile, cooked ground chicken breast meat portions"	""	
<urn:absolute:OFSMR#Sterile_ground_chicken_burgers>	"Sterile groun chicken burgers"	""	
<urn:absolute:OFSMR#Sterile_ground_chicken_portions>	"Sterile ground chicken portions"	""	
<urn:absolute:OFSMR#Sushi>	"Sushi"	""	
<urn:absolute:OFSMR#Swiss_chard>	"Swiss chard"	"Chard"	
<urn:absolute:OFSMR#Terrestial_animal_meat>	"Terrestrial animal meat"	""	
<urn:absolute:OFSMR#Tomato>	"Tomato"	""	
<urn:absolute:OFSMR#Tripticase_soy_agar_plus_yeast_extract>	"Trypticase soy agar plus yeast extract"	""	
<urn:absolute:OFSMR#Tris-HCl_buffer>	"Tris-HCl buffer"	"Tris-HCl"	
<urn:absolute:OFSMR#Tryptic_soy_broth>	"Tryptic soy broth"	"tsb+g, tsb-g"	
<urn:absolute:OFSMR#Trypticase_soy_agar>	"Trypticase soy agar"	""	
<urn:absolute:OFSMR#Trypticase_soy_agar_and_derivatives>	"Trypticase soy agar and derivatives"	""	
<urn:absolute:OFSMR#Undefined_foods>	"Undefined food"	""	
<urn:absolute:OFSMR#Undentified_fermented_meat>	"Undefined fermented meat"	""	
<urn:absolute:OFSMR#Unidentified>	"Unidentified"	""	
<urn:absolute:OFSMR#Unknown>	"Unknown"	""	
<urn:absolute:OFSMR#Various>	"Various"	""	
<urn:absolute:OFSMR#W-W>	"w-w"	""	
<urn:absolute:OFSMR#Water>	"Water"	""	
<urn:absolute:OFSMR#Yeast_nitrogen_base>	"Yeast nitrogen base"	"Yeast nitrogen base (difco), yeast nitrogen broth"	
<urn:absolute:OFSMR#dried_dairys>	"Dried dairy products"	""	
<urn:absolute:OFSMR#pasteuriced_dairys>	"Pasteuriced dairy products"	""	
