category	rank	value	count	percent_of_total
most_common	1	NA	149559	86.79
most_common	2	no	12159	7.06
most_common	3	yes	9281	5.39
most_common	4	flagella	1146	0.67
most_common	5	gliding	170	0.10
most_common	6	axial filament	9	0.01
rarest	1	NA	149559	86.79
rarest	2	no	12159	7.06
rarest	3	yes	9281	5.39
rarest	4	flagella	1146	0.67
rarest	5	gliding	170	0.10
rarest	6	axial filament	9	0.01
