cell_shape	count	percentage
bacillus	17793	62.79
coccus	7007	24.73
spiral	1363	4.81
vibrio	743	2.62
filament	660	2.33
coccobacillus	612	2.16
pleomorphic	64	0.23
fusiform	33	0.12
square	19	0.07
disc 	17	0.06
irregular	6	0.02
flask	5	0.02
star	4	0.01
spindle	3	0.01
branced	3	0.01
tailed	2	0.01
triangular	1	0.00
ring	1	0.00
spirochete	1	0.00
