category	rank	value	count	percent_of_total
most_common	1	NA	128126	74.35
most_common	2	negative	25300	14.68
most_common	3	positive	18898	10.97
rarest	1	NA	128126	74.35
rarest	2	negative	25300	14.68
rarest	3	positive	18898	10.97
