?class	?labels	?synonyms	?definitions
<http://purl.jp/bio/10/gmo/GMO_000077>	"Gas | ガス"		
<http://purl.jp/bio/10/gmo/GMO_000078>	"Mineral source"		
<http://purl.jp/bio/10/gmo/GMO_000079>	"Media similarity"		
<http://purl.jp/bio/10/gmo/GMO_001001>	"蒸留水 | Distilled water"		
<http://purl.jp/bio/10/gmo/GMO_001002>	"Magnesium sulfate heptahydrate | 硫酸マグネシウム七水和物"		
<http://purl.jp/bio/10/gmo/GMO_001003>	"Yeast extract | 酵母エキス"		
<http://purl.jp/bio/10/gmo/GMO_001004>	"Sodium chloride | 塩化ナトリウム"		
<http://purl.jp/bio/10/gmo/GMO_001005>	"塩化カルシウム二水和物 | Calcium chloride dihydrate"		
<http://purl.jp/bio/10/gmo/GMO_001006>	"Potassium phosphate monobasic | リン酸二水素カリウム"	"Potassium dihydrogenphosphate | Monopotassium phosphate"	
<http://purl.jp/bio/10/gmo/GMO_001007>	"寒天 | Agar"		"Agar, a polysaccharide extract from marine algae."
<http://purl.jp/bio/10/gmo/GMO_001008>	"塩化アンモニウム | Ammonium chloride"		"Ammonium chloride"
<http://purl.jp/bio/10/gmo/GMO_001009>	"Potassium phosphate dibasic | リン酸水素二カリウム"	"リン酸一水素カリウム | Dipotassium hydrogen phosphate | Dipotassium hydrogenphosphate | Dipotassium phosphate"	
<http://purl.jp/bio/10/gmo/GMO_001010>	"D-グルコース | D-Glucose"	"デキストロース | ブドウ糖 | grape sugar | Dextrose"	
<http://purl.jp/bio/10/gmo/GMO_001011>	"Sodium molybdate dihydrate | モリブデン酸ナトリウム二水和物"		
<http://purl.jp/bio/10/gmo/GMO_001012>	"Resazurin | レサズリン"	"7-Hydroxy-3H-phenoxazin-3-one 10-oxide"	
<http://purl.jp/bio/10/gmo/GMO_001013>	"Magnesium chloride hexahydrate | 塩化マグネシウム六水和物"		
<http://purl.jp/bio/10/gmo/GMO_001014>	"Sodium sulfide nonahydrate | 硫化ナトリウム九水和物"		
<http://purl.jp/bio/10/gmo/GMO_001015>	"ホウ酸 | Boric acid"		
<http://purl.jp/bio/10/gmo/GMO_001016>	"硫酸鉄(II)七水和物 | Iron(II) sulfate heptahydrate"	"Ferrous sulfate heptahydrate"	
<http://purl.jp/bio/10/gmo/GMO_001017>	"Potassium chloride | 塩化カリウム"		
<http://purl.jp/bio/10/gmo/GMO_001018>	"Bacto &trade; Yeast extract"	"Yeast Extract, Bacto &trade; | Bacto &trade; Yeast extract"	
<http://purl.jp/bio/10/gmo/GMO_001019>	"炭酸水素ナトリウム | Sodium bicarbonate"	"重炭酸ソーダ | 重炭酸ナトリウム | Sodium hydrogen carbonate | 重曹"	
<http://purl.jp/bio/10/gmo/GMO_001020>	"塩化マンガン(II)四水和物 | Manganese chloride tetrahydrate"		
<http://purl.jp/bio/10/gmo/GMO_001021>	"Cobalt dichloride hexahydrate | 塩化コバルト六水和物"	"Cobalt(II) chloride hexahydrate"	
<http://purl.jp/bio/10/gmo/GMO_001022>	"Nickel chloride hexahydrate | 塩化ニッケル(II)六水和物"		
