?class	?labels	?synonyms	?definitions
<http://purl.jp/bio/10/mpo#MPO_01033>	"Tetrad arrangement"	"Tetrads | Tetrad"	
<http://purl.jp/bio/10/mpo#MPO_01034>	"Chain arrangement"	"Chains | Chain"	
<http://purl.jp/bio/10/mpo#MPO_01035>	"Filament arrangement"	"Filaments | Filament"	
<http://purl.jp/bio/10/mpo#MPO_01036>	"Cluster arrangement"	"Clusters | Cluster"	
<http://purl.jp/bio/10/mpo#MPO_01037>	"Irregular colony"		
<http://purl.jp/bio/10/mpo#MPO_01038>	"V-shaped form arrangement"	"V-shaped forms | V-shaped form"	
<http://purl.jp/bio/10/mpo#MPO_01039>	"Filamentous arrangement"	"Filamentous"	
<http://purl.jp/bio/10/mpo#MPO_01040>	"Diplococcus arrangement"	"Diplococcus"	
<http://purl.jp/bio/10/mpo#MPO_01041>	"Diplobacillus arrangement"	"Diplobacillus"	
<http://purl.jp/bio/10/mpo#MPO_01042>	"Diplococcus encapsulated arrangement"	"Diplococcus encapsulated"	
<http://purl.jp/bio/10/mpo#MPO_01043>	"Streptococcus arrangement"	"Streptococcus"	
<http://purl.jp/bio/10/mpo#MPO_01044>	"Streptobacillus arrangement"	"Streptobacillus"	
<http://purl.jp/bio/10/mpo#MPO_01045>	"Sarcina arrangement"	"Sarcina"	
<http://purl.jp/bio/10/mpo#MPO_01046>	"Staphylococcus arrangement"	"Staphylococcus"	
<http://purl.jp/bio/10/mpo#MPO_01047>	"Sheathed arrangement"	"Sheathed"	
<http://purl.jp/bio/10/mpo#MPO_02000>	"Motility"		
<http://purl.jp/bio/10/mpo#MPO_02001>	"Motile"		
<http://purl.jp/bio/10/mpo#MPO_02002>	"Nonmotile"		
<http://purl.jp/bio/10/mpo#MPO_02003>	"Taxis | 走性"		
<http://purl.jp/bio/10/mpo#MPO_02004>	"Kinesis | 動性"		
<http://purl.jp/bio/10/mpo#MPO_02005>	"Aerotaxis | 走気性"		
<http://purl.jp/bio/10/mpo#MPO_02006>	"Barotaxis | 走圧性"		
<http://purl.jp/bio/10/mpo#MPO_02007>	"Chemotaxis | 走化性"		
<http://purl.jp/bio/10/mpo#MPO_02008>	"Energy taxis"		
<http://purl.jp/bio/10/mpo#MPO_02009>	"Galvanotaxis | 電気走性"	"Electrotaxis"	
<http://purl.jp/bio/10/mpo#MPO_02010>	"Magnetotaxis | 走磁性"		
<http://purl.jp/bio/10/mpo#MPO_02011>	"Gravitaxis | 走地性"	"Geotaxis"	
<http://purl.jp/bio/10/mpo#MPO_02012>	"Hydrotaxis | 走水質"		
<http://purl.jp/bio/10/mpo#MPO_02013>	"Phototaxis | 走光性"		
<http://purl.jp/bio/10/mpo#MPO_02014>	"Scotophobotaxis"		
<http://purl.jp/bio/10/mpo#MPO_02015>	"Rheotaxis | 走流性"		
<http://purl.jp/bio/10/mpo#MPO_02016>	"Thermotaxis"		
<http://purl.jp/bio/10/mpo#MPO_02017>	"Thigmotaxis | 接触走性"		
<http://purl.jp/bio/10/mpo#MPO_02018>	"Orthokinesis"		
<http://purl.jp/bio/10/mpo#MPO_02019>	"Kinokinesis"		
<http://purl.jp/bio/10/mpo#MPO_02020>	"Chemokinesis"		
<http://purl.jp/bio/10/mpo#MPO_02021>	"Photokinesis"		
<http://purl.jp/bio/10/mpo#MPO_02022>	"Gliding motility"		
<http://purl.jp/bio/10/mpo#MPO_02023>	"Twitching motility"		
<http://purl.jp/bio/10/mpo#MPO_02024>	"Swarming motility"		
<http://purl.jp/bio/10/mpo#MPO_02025>	"Swimming motility"		
<http://purl.jp/bio/10/mpo#MPO_02026>	"Darting motility"		
<http://purl.jp/bio/10/mpo#MPO_02027>	"Tumbling motility"		
<http://purl.jp/bio/10/mpo#MPO_02028>	"Sliding motility"		
