file	column	curie_percentage
nodes.tsv	id	99.95
nodes.tsv	category	100.00
nodes.tsv	name	0.00
nodes.tsv	description	0.00
nodes.tsv	xref	0.00
nodes.tsv	provided_by	0.00
nodes.tsv	synonym	0.00
nodes.tsv	iri	0.00
nodes.tsv	object	0.00
nodes.tsv	predicate	0.00
nodes.tsv	relation	0.00
nodes.tsv	same_as	0.00
nodes.tsv	subject	0.00
nodes.tsv	subsets	0.00
edges.tsv	subject	92.49
edges.tsv	predicate	100.00
edges.tsv	object	99.99
edges.tsv	relation	100.00
edges.tsv	primary_knowledge_source	89.76
