metpo_id	metpo_label	has_definition	has_def_source	best_match_distance	best_match_ontology	best_match_label	best_match_iri	proposed_definition	proposed_def_source	confidence_level	action_needed
METPO:1000800	respiration	True	False	0.204	DOI	Respiration	<http://doi.org/10.1601/Respiration>			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000881	cell length	True	False	0.3703	OMP	cell length phenotype	<http://purl.obolibrary.org/obo/OMP_0000322>			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000882	cell width	True	False	0.339	MICRO	has cell width	http://purl.obolibrary.org/obo/MICRO_0001179			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000886	cell length large	True	False	0.5197	OMP	cell length phenotype	<http://purl.obolibrary.org/obo/OMP_0000322>			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000887	cell width very small	True	False	0.5371	MICRO	has cell width	http://purl.obolibrary.org/obo/MICRO_0001179			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000888	cell width small	True	False	0.4735	MICRO	has cell width	http://purl.obolibrary.org/obo/MICRO_0001179			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000889	cell width medium	True	False	0.5002	MICRO	has cell width	http://purl.obolibrary.org/obo/MICRO_0001179			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000890	cell width large	True	False	0.4501	MICRO	has cell width	http://purl.obolibrary.org/obo/MICRO_0001179			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1001002	growth temperature observation	True	False	0.5881	DOI	Growth observation	<http://doi.org/10.1601/GrowthObservation>			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1003021	pigmentation	True	False	0.0	GO	pigmentation	http://purl.obolibrary.org/obo/GO_0043473			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1003022	black pigmented	True	False	0.5137	UNKNOWN	cell pigmentation	http://purl.obolibrary.org/obo/MicrO.owl/MICRO_0002518			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1003023	brown pigmented	True	False	0.489	GO	male pigmentation	http://purl.obolibrary.org/obo/GO_0048094			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1003024	cream pigmented	True	False	0.3766	UNKNOWN	cell pigmentation	http://purl.obolibrary.org/obo/MicrO.owl/MICRO_0002518			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1003025	green pigmented	True	False	0.452	UNKNOWN	cell pigmentation	http://purl.obolibrary.org/obo/MicrO.owl/MICRO_0002518			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1003026	orange pigmented	True	False	0.4223	UNKNOWN	cell pigmentation	http://purl.obolibrary.org/obo/MicrO.owl/MICRO_0002518			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1003027	pink pigmented	True	False	0.4474	PATO	pigmented	http://purl.obolibrary.org/obo/PATO_0002248			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1003028	red pigmented	True	False	0.443	PATO	pigmented	http://purl.obolibrary.org/obo/PATO_0002248			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1003029	white pigmented	True	False	0.4697	UNKNOWN	cell pigmentation	http://purl.obolibrary.org/obo/MicrO.owl/MICRO_0002518			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1003030	yellow pigmented	True	False	0.4292	UNKNOWN	cell pigmentation	http://purl.obolibrary.org/obo/MicrO.owl/MICRO_0002518			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1003031	carotenoid pigmentation	True	False	0.3494	CHEBI	carotenoid	http://purl.obolibrary.org/obo/CHEBI_23044			high	Auto-propose (distance < 0.35) - but no definition available in match
