Timestamp,Total_RAM_GB,Used_RAM_GB,Free_RAM_GB,Python_RSS_MB,Python_VSZ_MB,Python_CPU%
2025-10-26 22:38:36,62,6,35,2682.66,5879.34,174
2025-10-26 22:39:36,62,6,34,2889.53,5879.34,176
2025-10-26 22:40:36,62,6,32,3093.43,5878.34,176
2025-10-26 22:41:36,62,6,31,3326.11,5912.34,177
2025-10-26 22:42:36,62,6,30,3527.58,5912.34,178
2025-10-26 22:43:36,62,7,28,3777.62,9074.34,178
2025-10-26 22:44:36,62,7,27,3975.49,9074.34,178
2025-10-26 22:45:36,62,7,25,4169.39,9074.34,178
2025-10-26 22:46:36,62,7,24,4358.2,9074.34,177
2025-10-26 22:47:36,62,7,22,4549.07,9074.34,177
2025-10-26 22:48:36,62,8,21,4740.72,9074.34,177
2025-10-26 22:49:36,62,8,19,4924.57,9074.34,178
2025-10-26 22:50:36,62,8,18,5102,9074.34,179
2025-10-26 22:51:36,62,8,17,5281.14,9072.34,180
2025-10-26 22:52:36,62,8,15,5476.42,9073.34,180
2025-10-26 22:53:36,62,9,14,5653.95,9074.34,180
2025-10-26 22:54:36,62,9,13,5830.83,9074.34,180
2025-10-26 22:55:36,62,9,11,6005.38,9073.34,180
2025-10-26 22:56:36,62,9,10,6239.83,9140.34,180
2025-10-26 22:57:36,62,9,9,6410.72,9140.34,181
2025-10-26 22:58:36,62,9,8,6573.71,9140.34,180
2025-10-26 22:59:36,62,9,6,6743.31,9140.34,179
2025-10-26 23:00:37,62,10,5,7019.57,15528.3,179
2025-10-26 23:01:37,62,10,4,7186.31,15528.3,179
2025-10-26 23:02:37,62,10,2,7347.46,15528.3,179
2025-10-26 23:03:37,62,10,1,7505.5,15527.3,179
2025-10-26 23:04:37,62,11,0,7667.13,15528.3,180
2025-10-26 23:05:37,62,11,0,7817.07,15528.3,180
2025-10-26 23:06:37,62,11,0,7974.07,15592.3,181
2025-10-26 23:07:37,62,11,0,8127.32,15592.3,181
2025-10-26 23:08:37,62,11,0,8293.22,15592.3,180
2025-10-26 23:09:37,62,11,0,8447.05,15656.3,180
2025-10-26 23:10:37,62,11,0,8597.5,15656.3,180
2025-10-26 23:11:37,62,12,0,8761.27,15720.3,179
2025-10-26 23:12:37,62,12,0,8926.96,15720.3,178
2025-10-26 23:13:37,62,12,0,9087.37,15720.3,177
2025-10-26 23:14:37,62,12,0,9246.2,15720.3,177
2025-10-26 23:15:37,62,12,0,9400.04,15720.3,177
2025-10-26 23:16:37,62,12,0,9549.67,15718.3,177
2025-10-26 23:17:37,62,12,0,9701.86,15720.3,177
2025-10-26 23:18:37,62,13,0,9853.26,15720.3,177
2025-10-26 23:19:37,62,13,0,10004.5,15719.3,177
