# KGX edge templates for MetaTraits composed traits
# Subject is left blank — fill with strain/genome CURIE per source database
# Generated: 2026-02-12
# Tool: metpo/scripts/curie_join_metatraits.py v0.2.0
# Pattern: <subject> --[predicate_id]--> <object_id>
#   e.g.: NCBITaxon:562 --[METPO:2000011 ferments]--> CHEBI:17234 (glucose)
# Use negative_predicate_id for negative assay results
#   e.g.: NCBITaxon:562 --[METPO:2000037 does not ferment]--> CHEBI:17057 (cellobiose)
#
metatraits_card_id	metatraits_trait	predicate_id	predicate_label	object_id	object_label	negative_predicate_id	negative_predicate_label	knowledge_level	agent_type	primary_knowledge_source
aerobic-growth-d-glucose	aerobic growth: D-glucose	METPO:2000043	uses for aerobic growth	CHEBI:17634	D-glucose	METPO:2000022	does not use for aerobic growth	knowledge_assertion	manual_agent	infores:metatraits
aerobic-growth-d-mannitol	aerobic growth: D-mannitol	METPO:2000043	uses for aerobic growth	CHEBI:16899	D-mannitol	METPO:2000022	does not use for aerobic growth	knowledge_assertion	manual_agent	infores:metatraits
aerobic-growth-d-mannose	aerobic growth: D-mannose	METPO:2000043	uses for aerobic growth	CHEBI:16024	D-mannose	METPO:2000022	does not use for aerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-catabolization-acetate	anaerobic catabolization: acetate	METPO:2000048	uses for anaerobic catabolization	CHEBI:30089	acetate	METPO:2000023	does not use for anaerobic catabolization	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-catabolization-cellobiose	anaerobic catabolization: cellobiose	METPO:2000048	uses for anaerobic catabolization	CHEBI:17057	cellobiose	METPO:2000023	does not use for anaerobic catabolization	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-catabolization-d-arabinose	anaerobic catabolization: D-arabinose	METPO:2000048	uses for anaerobic catabolization	CHEBI:17108	D-arabinose	METPO:2000023	does not use for anaerobic catabolization	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-catabolization-d-fructose	anaerobic catabolization: D-fructose	METPO:2000048	uses for anaerobic catabolization	CHEBI:15824	D-fructose	METPO:2000023	does not use for anaerobic catabolization	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-in-the-dark-acetate	anaerobic growth in the dark: acetate	METPO:2000050	uses for anaerobic growth in the dark	CHEBI:30089	acetate	METPO:2000025	does not use for anaerobic growth in the dark	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-in-the-dark-aspartate	anaerobic growth in the dark: aspartate	METPO:2000050	uses for anaerobic growth in the dark	CHEBI:35391	aspartate	METPO:2000025	does not use for anaerobic growth in the dark	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-in-the-dark-butyrate	anaerobic growth in the dark: butyrate	METPO:2000050	uses for anaerobic growth in the dark	CHEBI:17968	butyrate	METPO:2000025	does not use for anaerobic growth in the dark	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-with-light-acetate	anaerobic growth with light: acetate	METPO:2000051	uses for anaerobic growth with light	CHEBI:30089	acetate	METPO:2000026	does not use for anaerobic growth with light	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-with-light-aspartate	anaerobic growth with light: aspartate	METPO:2000051	uses for anaerobic growth with light	CHEBI:35391	aspartate	METPO:2000026	does not use for anaerobic growth with light	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-with-light-bromosuccinate	anaerobic growth with light: bromosuccinate	METPO:2000051	uses for anaerobic growth with light	CHEBI:73706	bromosuccinate	METPO:2000026	does not use for anaerobic growth with light	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-with-light-butyrate	anaerobic growth with light: butyrate	METPO:2000051	uses for anaerobic growth with light	CHEBI:17968	butyrate	METPO:2000026	does not use for anaerobic growth with light	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-with-light-casamino-acids	anaerobic growth with light: casamino acids	METPO:2000051	uses for anaerobic growth with light		casamino acids	METPO:2000026	does not use for anaerobic growth with light	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-with-light-casein-hydrolysate	anaerobic growth with light: casein hydrolysate	METPO:2000051	uses for anaerobic growth with light		casein hydrolysate	METPO:2000026	does not use for anaerobic growth with light	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-with-light-citrate	anaerobic growth with light: citrate	METPO:2000051	uses for anaerobic growth with light	CHEBI:16947	citrate	METPO:2000026	does not use for anaerobic growth with light	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-with-light-ethanol	anaerobic growth with light: ethanol	METPO:2000051	uses for anaerobic growth with light	CHEBI:16236	ethanol	METPO:2000026	does not use for anaerobic growth with light	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-1-2-butandiol	anaerobic growth: 1,2-butandiol	METPO:2000049	uses for anaerobic growth	CHEBI:52682	1,2-butandiol	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-acetate	anaerobic growth: acetate	METPO:2000049	uses for anaerobic growth	CHEBI:30089	acetate	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-acetone	anaerobic growth: acetone	METPO:2000049	uses for anaerobic growth	CHEBI:15347	acetone	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-alanine	anaerobic growth: alanine	METPO:2000049	uses for anaerobic growth	CHEBI:16449	alanine	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-alpha-d-glucose	anaerobic growth: alpha-D-glucose	METPO:2000049	uses for anaerobic growth	CHEBI:17925	alpha-D-glucose	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-arabinose	anaerobic growth: arabinose	METPO:2000049	uses for anaerobic growth	CHEBI:22599	arabinose	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-arginine	anaerobic growth: arginine	METPO:2000049	uses for anaerobic growth	CHEBI:29016	arginine	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-asparagine	anaerobic growth: asparagine	METPO:2000049	uses for anaerobic growth	CHEBI:22653	asparagine	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-betaine	anaerobic growth: betaine	METPO:2000049	uses for anaerobic growth	CHEBI:17750	betaine	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-butanol	anaerobic growth: butanol	METPO:2000049	uses for anaerobic growth	CHEBI:28885	butanol	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-butyrate	anaerobic growth: butyrate	METPO:2000049	uses for anaerobic growth	CHEBI:17968	butyrate	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-carbon-dioxide	anaerobic growth: carbon dioxide	METPO:2000049	uses for anaerobic growth	CHEBI:16526	carbon dioxide	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-casamino-acids	anaerobic growth: casamino acids	METPO:2000049	uses for anaerobic growth		casamino acids	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-cellobiose	anaerobic growth: cellobiose	METPO:2000049	uses for anaerobic growth	CHEBI:17057	cellobiose	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-chitin	anaerobic growth: chitin	METPO:2000049	uses for anaerobic growth	CHEBI:17029	chitin	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-citrate	anaerobic growth: citrate	METPO:2000049	uses for anaerobic growth	CHEBI:16947	citrate	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-d-alanine	anaerobic growth: D-alanine	METPO:2000049	uses for anaerobic growth	CHEBI:15570	D-alanine	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-d-alloisoleucine-zwitterion	anaerobic growth: D-alloisoleucine zwitterion	METPO:2000049	uses for anaerobic growth	CHEBI:85306	D-alloisoleucine zwitterion	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-d-arabinose	anaerobic growth: D-arabinose	METPO:2000049	uses for anaerobic growth	CHEBI:17108	D-arabinose	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
