substrate_label	card_count	example_cards	metatraits_chebi_id	chebi_label_from_oak	label_match	kgm_chebi_id	kgm_chebi_label	kgm_label_match	kgm_matches_metatraits	audit_status
1-methylphenanthrene	1	carbon-source-1-methylphenanthrene	CHEBI:35860	1-methylphenanthrene	exact			not_found	n/a	verified
1-o-methyl alpha-galactopyranoside	3	assimilation-1-o-methyl-alpha-galactopyranoside; builds-acid-from-1-o-methyl-alpha-galactopyranoside; growth-1-o-methyl-alpha-galactopyranoside			no_curie			not_found	n/a	no_curie
1h-indol-3-ylacetic acid	1	hydrolysis-1h-indol-3-ylacetic-acid	CHEBI:16411	indole-3-acetic acid	mismatch			not_found	n/a	mismatch
2&#39;-deoxyinosine	1	builds-acid-from-2-deoxyinosine	CHEBI:28997	2'-deoxyinosine	mismatch			not_found	n/a	mismatch
2&#39;-isopentenylsaproxanthin	1	produces-2-isopentenylsaproxanthin			no_curie			not_found	n/a	no_curie
2,2-dimethylsuccinic acid	4	assimilation-2-2-dimethylsuccinic-acid; carbon-source-2-2-dimethylsuccinic-acid; growth-2-2-dimethylsuccinic-acid	CHEBI:86537	2,2-dimethylsuccinic acid	exact			not_found	n/a	verified
2,3-butanediol	8	assimilation-2-3-butanediol; builds-acid-from-2-3-butanediol; carbon-source-2-3-butanediol	CHEBI:62064	butane-2,3-diol	mismatch			not_found	n/a	mismatch
2,3-butanone	1	assimilation-2-3-butanone			no_curie			not_found	n/a	no_curie
2,4-butanediol	1	carbon-source-2-4-butanediol			no_curie			not_found	n/a	no_curie
2,5-didehydro-D-gluconate	2	carbon-source-2-5-didehydro-d-gluconate; produces-2-5-didehydro-d-gluconate	CHEBI:11449	2,5-didehydro-D-gluconate	exact			not_found	n/a	verified
2,5-didehydro-D-gluconic acid	1	produces-2-5-didehydro-d-gluconic-acid	CHEBI:18281	2,5-didehydro-D-gluconic acid	exact			not_found	n/a	verified
2-aminobenzoate	2	assimilation-2-aminobenzoate; carbon-source-2-aminobenzoate	CHEBI:16567	anthranilate	mismatch			not_found	n/a	mismatch
2-aminobutyrate	4	assimilation-2-aminobutyrate; carbon-source-2-aminobutyrate; growth-2-aminobutyrate	CHEBI:28340	L-2-aminobutyrate	mismatch			not_found	n/a	mismatch
2-aminopentanoic acid	4	assimilation-2-aminopentanoic-acid; carbon-source-2-aminopentanoic-acid; growth-2-aminopentanoic-acid	CHEBI:19475	2-aminopentanoic acid	exact			not_found	n/a	verified
2-butanol	3	assimilation-2-butanol; carbon-source-2-butanol; growth-2-butanol	CHEBI:35686	(2R)-butan-2-ol	mismatch			not_found	n/a	mismatch
2-dehydro-D-gluconate	10	assimilation-2-dehydro-d-gluconate; builds-acid-from-2-dehydro-d-gluconate; builds-base-from-2-dehydro-d-gluconate	CHEBI:16808	2-dehydro-D-gluconate	exact			not_found	n/a	verified
2-deoxy-d-ribose	3	assimilation-2-deoxy-d-ribose; builds-acid-from-2-deoxy-d-ribose; carbon-source-2-deoxy-d-ribose	CHEBI:28816	2-deoxy-D-ribose	exact			not_found	n/a	verified
2-deoxyadenosine	7	assimilation-2-deoxyadenosine; builds-acid-from-2-deoxyadenosine; carbon-source-2-deoxyadenosine	CHEBI:17256	2'-deoxyadenosine	mismatch			not_found	n/a	mismatch
2-deoxythymidine-5&#39;-4-nitrophenyl phosphate	1	hydrolysis-2-deoxythymidine-5-4-nitrophenyl-phosphate			no_curie			not_found	n/a	no_curie
2-hydroxybutyrate	9	assimilation-2-hydroxybutyrate; builds-acid-from-2-hydroxybutyrate; carbon-source-2-hydroxybutyrate	CHEBI:64552	2-hydroxybutyrate	exact			not_found	n/a	verified
2-naphthyl dihydrogen phosphate	3	assimilation-2-naphthyl-dihydrogen-phosphate; builds-acid-from-2-naphthyl-dihydrogen-phosphate; hydrolysis-2-naphthyl-dihydrogen-phosphate	CHEBI:91043	2-naphthyl dihydrogen phosphate	exact			not_found	n/a	verified
2-naphthyl tetradecanoate	1	hydrolysis-2-naphthyl-tetradecanoate	CHEBI:90249	2-naphthyl tetradecanoate	exact			not_found	n/a	verified
2-nitrophenyl beta-D-galactopyranoside (EC3.2.1.52)	1	enzyme-activity-2-nitrophenyl-beta-d-galactopyranoside-ec3-2-1-52			no_curie			not_found	n/a	no_curie
2-oxobutanoate	6	assimilation-2-oxobutanoate; carbon-source-2-oxobutanoate; energy-source-2-oxobutanoate	CHEBI:16763	2-oxobutanoate	exact			not_found	n/a	verified
2-oxogluconate	8	assimilation-2-oxogluconate; builds-acid-from-2-oxogluconate; carbon-source-2-oxogluconate			no_curie			not_found	n/a	no_curie
2-oxoglutarate	11	aerobic-catabolization-2-oxoglutarate; assimilation-2-oxoglutarate; builds-acid-from-2-oxoglutarate	CHEBI:15022	electron donor	mismatch	CHEBI:16810	2-oxoglutarate(2-)	mismatch	no	mismatch
2-oxopentanoate	7	assimilation-2-oxopentanoate; carbon-source-2-oxopentanoate; energy-source-2-oxopentanoate	CHEBI:28644	2-oxopentanoate	exact			not_found	n/a	verified
2-propanol	4	carbon-source-2-propanol; electron-donor-2-propanol; energy-source-2-propanol	CHEBI:15022	electron donor	mismatch			not_found	n/a	mismatch
3-[(4-nitrophenyl)carbamoylamino]propanoic acid	1	builds-acid-from-3-4-nitrophenyl-carbamoylamino-propanoic-acid			no_curie			not_found	n/a	no_curie
3-aminobenzoate	2	assimilation-3-aminobenzoate; carbon-source-3-aminobenzoate	CHEBI:30761	3-aminobenzoate	exact			not_found	n/a	verified
3-aminobutyrate	3	assimilation-3-aminobutyrate; carbon-source-3-aminobutyrate; growth-3-aminobutyrate	CHEBI:87997	3-aminobutyrate	exact			not_found	n/a	verified
3-coumarate	2	carbon-source-3-coumarate; growth-3-coumarate	CHEBI:47927	3-coumarate	exact			not_found	n/a	verified
